latitude,longitude,timestamp,unit,trip_id
38.99374,-95.20369,2023-12-08 20:04:17+00:00,1000,3
38.99375,-95.20508,2023-12-08 20:04:24+00:00,1000,3
38.99375,-95.20555,2023-12-08 20:04:27+00:00,1000,3
38.99376,-95.20628,2023-12-08 20:04:30+00:00,1000,3
38.99376,-95.20628,2023-12-08 20:04:30+00:00,1000,3
38.99376,-95.20628,2023-12-08 20:04:30+00:00,1000,3
38.99384,-95.21293,2023-12-08 20:05:05+00:00,1000,3
38.99385,-95.21372,2023-12-08 20:05:09+00:00,1000,3
38.99389,-95.21686,2023-12-08 20:05:25+00:00,1000,3
38.99389,-95.21686,2023-12-08 20:05:25+00:00,1000,3
38.99389,-95.21686,2023-12-08 20:05:25+00:00,1000,3
38.99399,-95.22374,2023-12-08 20:06:01+00:00,1000,3
38.99399,-95.22406,2023-12-08 20:06:03+00:00,1000,3
38.99399,-95.22406,2023-12-08 20:06:03+00:00,1000,3
38.99396,-95.22423,2023-12-08 20:06:04+00:00,1000,3
38.99396,-95.22423,2023-12-08 20:06:04+00:00,1000,3
38.99396,-95.22423,2023-12-08 20:06:04+00:00,1000,3
38.99395,-95.22431,2023-12-08 20:06:04+00:00,1000,3
38.99394,-95.22561,2023-12-08 20:06:11+00:00,1000,3
38.99388,-95.22666,2023-12-08 20:06:16+00:00,1000,3
38.99383,-95.22733,2023-12-08 20:06:20+00:00,1000,3
38.99375,-95.22828,2023-12-08 20:06:25+00:00,1000,3
38.99359,-95.22971,2023-12-08 20:06:32+00:00,1000,3
38.99352,-95.23025,2023-12-08 20:06:35+00:00,1000,3
38.99352,-95.23025,2023-12-08 20:06:35+00:00,1000,3
38.99352,-95.23025,2023-12-08 20:06:35+00:00,1000,3
38.99346,-95.23068,2023-12-08 20:06:37+00:00,1000,3
38.99328,-95.23191,2023-12-08 20:06:44+00:00,1000,3
38.99316,-95.23282,2023-12-08 20:06:49+00:00,1000,3
38.99314,-95.23297,2023-12-08 20:06:49+00:00,1000,3
38.99302,-95.23379,2023-12-08 20:06:54+00:00,1000,3
38.9928,-95.23539,2023-12-08 20:07:02+00:00,1000,3
38.99214,-95.24004,2023-12-08 20:07:27+00:00,1000,3
